ID,Day,Month,Year,Target_country,Item_language,Recruit_code,Target_public,People_reached,Item_title,Item_type,Media_type
69,28,6,2022,France,French,DC_Mass,forestry offices,18,Présentation du projet MyGardenOfTrees,mass e-mail,e-mail
154,28,9,2023,Italy,Italian,DC_Mass,protected areas,25,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
155,28,9,2023,Italy,Italian,DC_Mass,forestry offices,2,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
156,29,9,2023,Italy,Italian,DC_Mass,protected areas,27,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
169,31,10,2022,Poland,Polish ,DC_Mass,foresters from all sectors,250,Projekt naukowy MyGardenofTrees,mass e-mail,e-mail
257,31,12,2023,Switzerland,German,DC_Mass,forest companies,2,diverse Forstbetriebe,mass e-mail,e-mail
107,1,6,2022,Germany,German,DC_Mass,all,20,Mass e-mail to private forestry network,mass e-mail,e-mail
107,15,6,2022,Germany,German,DC_Mass,all,20,Mass e-mail to private forestry network,mass e-mail,e-mail
107,22,6,2022,Germany,German,DC_Mass,all,20,Mass e-mail to private forestry network,mass e-mail,e-mail
107,8,6,2022,Germany,German,DC_Mass,all,20,Mass e-mail to private forestry network,mass e-mail,e-mail
61,3,6,2022,France,French,DC_Meeting,scientists,5,"MyGardenOfTrees, un projet de science participative pour des forêts résilientes face au changement climatique en Europe",presentation,conference
260,9,7,2023,Switzerland,German,DC_Meeting,forestry offices,1,Zoom meeting with head of Forestry office of Ticino,informal conversation,meeting
21,15,5,2022,Croatia,Croatian,DC_Meeting,foresters from all sectors,12,Call for participation,talk,meeting
8,15,5,2022,Bosnia & Herzegovina,Croatian,DC_Meeting,scientists,3,Call for participation,talk,meeting
175,15,5,2022,Serbia,Croatian,DC_Meeting,policy-makers,1,Call for participation,talk,meeting
111,15,6,2022,Germany,German,DC_Meeting,all,10,Phone calls,informal conversation,meeting
24,15,6,2022,Croatia,Croatian,DC_Meeting,foresters from all sectors,9,Call for participation,talk,meeting
25,15,7,2022,Croatia,Croatian,DC_Meeting,forest companies,2,Call for participation,talk,meeting
187,15,9,2023,Slovenia,Slovene,DC_Meeting,foresters from all sectors,25,"Informal conversations at events, field trips",informal conversation,meeting
189,15,10,2023,Slovenia,Slovene,DC_Meeting,foresters from all sectors,25,"Informal conversations at events, field trips",informal conversation,meeting
30,18,10,2022,Croatia,Croatian,DC_Meeting,forest companies,20,Zoom meeting with Forestry sector director of Hrvatske šume,short communication,expert level meeting
